;"incorrect_sentence";"correct_sentences";"topics";"entered"
0;"I don't remember how tall is it.";"I don't remember how tall it is.";"Word Order";"2024-08-07 09:08:26.969035"
1;"Always I wear black.";"I always wear black.";"Word Order";"2024-08-07 09:08:26.969035"
2;"Always there will be children.";"There will always be children.";"Word Order";"2024-08-07 09:08:26.969035"
3;"I was able to save money enough to travel.";"I was able to save enough money to travel.";"Word Order";"2024-08-07 09:08:26.969035"
4;"My father taught me to be a person kind.";"My father taught me to be a kind person.";"Word Order";"2024-08-07 09:08:26.969035"
5;"There are a lot of animals endangered.";"There are a lot of endangered animals.";"Word Order";"2024-08-07 09:08:26.969035"
6;"I don't have time enough.";"I don't have enough time.";"Word Order";"2024-08-07 09:08:26.969035"
7;"You can visit seven waterfalls different.";"You can visit seven different waterfalls.";"Word Order";"2024-08-07 09:08:26.969035"
8;"There are other cases similar.";"There are other cases that are similar.
There are other similar cases.";"Word Order";"2024-08-07 09:08:26.969035"
9;"Probably I won't find an apartment.";"I probably won't find an apartment.";"Word Order";"2024-08-07 09:08:26.969035"
10;"I always was bad at physics.";"I was always bad at physics.";"Word Order";"2024-08-07 09:08:26.969035"
11;"Maybe I'll stay for two years more.";"Maybe I'll stay for two more years.";"Word Order";"2024-08-07 09:08:26.969035"
12;"Is difficult marriage.";"Marriage is difficult.";"Word Order";"2024-08-07 09:08:26.969035"
13;"I never can refuse a free dinner.";"I can never refuse a free dinner.";"Word Order";"2024-08-07 09:08:26.969035"
14;"I don't like very much sports.";"I don't like sports very much.";"Word Order";"2024-08-07 09:08:26.969035"
15;"Even you don't need to download it.";"You don't even need to download it.";"Word Order";"2024-08-07 09:08:26.969035"
16;"Always you are tired when you drive long distances.";"You are always tired when you drive long distances.";"Word Order";"2024-08-07 09:08:26.969035"
17;"Don't say what age are you.";"Don't say what age you are.";"Word Order";"2024-08-07 09:08:26.969035"
18;"What you can do?";"What can you do?";"Word Order";"2024-08-07 09:08:26.969035"
19;"Never it was finished.";"It was never finished.";"Word Order";"2024-08-07 09:08:26.969035"
20;"I try to not do that.";"I try not to do that.";"Word Order";"2024-08-07 09:08:26.969035"
21;"Never we can find a good time to talk.";"We can never find a good time to talk.";"Word Order";"2024-08-07 09:08:26.969035"
22;"I don't know if we have energy resources enough to keep living as we are.";"I don't know if we have enough energy resources to keep living as we are.";"Word Order";"2024-08-07 09:08:26.969035"
23;"Always she's very organised about her life.";"She's always very organised about her life.";"Word Order";"2024-08-07 09:08:26.969035"
24;"You learn a lot of things useless in school.";"You learn a lot of useless things in school.";"Word Order";"2024-08-07 09:08:26.969035"
25;"She was surprised to see how her mother was happy.";"She was surprised to see how happy her mother was.";"Word Order";"2024-08-07 09:08:26.969035"
26;"You don't have time enough.";"You don't have enough time.";"Word Order";"2024-08-07 09:08:26.969035"
27;"Always I think about donating blood.";"I always think about donating blood.";"Word Order";"2024-08-07 09:08:26.969035"
28;"If someone put at risk my family, I wouldn't think twice about it.";"If someone put my family at risk, I wouldn't think twice about it.";"Word Order";"2024-08-07 09:08:26.969035"
29;"I never have done this.";"I have never done this.";"Word Order";"2024-08-07 09:08:26.969035"
30;"Usually I eat every day the same food.";"I usually eat the same food every day.";"Word Order";"2024-08-07 09:08:26.969035"
31;"I watched yesterday a Spanish film.";"I watched a Spanish film yesterday.";"Word Order";"2024-08-07 09:08:26.969035"
32;"You have to make always an effort to succeed.";"You always have to make an effort to succeed.
You have to always make an effort to succeed.";"Word Order";"2024-08-07 09:08:26.969035"
33;"If you invite for dinner a friend, maybe you should pay.";"If you invite a friend for dinner, maybe you should pay.";"Word Order";"2024-08-07 09:08:26.969035"
34;"You probably will pay more.";"You will probably pay more.";"Word Order";"2024-08-07 09:08:26.969035"
35;"It depends where are you.";"It depends where you are.";"Word Order";"2024-08-07 09:08:26.969035"
36;"You can see which level are you.";"You can see which level you are.";"Word Order";"2024-08-07 09:08:26.969035"
37;"The other thing nice is that you can see where they filmed Game of Thrones.";"The other nice thing is that you can see where they filmed Game of Thrones.";"Word Order";"2024-08-07 09:08:26.969035"
38;"I've heard of it, but I don't know what is it.";"I've heard of it, but I don't know what it is.";"Word Order";"2024-08-07 09:08:26.969035"
39;"Do you know how much is it?";"Do you know how much it is?";"Word Order";"2024-08-07 09:08:26.969035"
40;"I don't know what is this.";"I don't know what this is.";"Word Order";"2024-08-07 09:08:26.969035"
41;"My boss used to pick up me in the city centre.";"My boss used to pick me up in the city centre.";"Word Order";"2024-08-07 09:08:26.969035"
42;"I recommend more Argentina for this kind of activity.";"I recommend Argentina more for this kind of activity.";"Word Order";"2024-08-07 09:08:26.969035"
43;"The government knows where are you.";"The government knows where you are.";"Word Order";"2024-08-07 09:08:26.969035"
44;"He's four years and a half.";"He's four and a half years old.";"Word Order";"2024-08-07 09:08:26.969035"
45;"It's a festival famous.";"It's a famous festival.";"Word Order";"2024-08-07 09:08:26.969035"
46;"Then you discover why is he doing that.";"Then you discover why he is doing that.";"Word Order";"2024-08-07 09:08:26.969035"
47;"He always would choose burgers and chips over healthy food.";"He would always choose burgers and chips over healthy food.";"Word Order";"2024-08-07 09:08:26.969035"
48;"Always I'm very tired.";"I'm always very tired.";"Word Order";"2024-08-07 09:08:26.969035"
49;"Probably I will move if I find something else.";"I'll probably move if I find something else.";"Word Order";"2024-08-07 09:08:26.969035"
50;"You have to know where are you going.";"You have to know where you are going.";"Word Order";"2024-08-07 09:08:26.969035"
51;"Everyday we took a delicious breakfast.";"Everyday we had a delicious breakfast.";"Word Confusion";"2024-08-07 09:08:26.969035"
52;"It was a nice travel.";"It was a nice trip.";"Word Confusion";"2024-08-07 09:08:26.969035"
53;"It's not very safety.";"It's not very safe.";"Word Confusion";"2024-08-07 09:08:26.969035"
54;"It was the worst holiday that I've never had.";"It was the worst holiday that I've ever had.";"Word Confusion";"2024-08-07 09:08:26.969035"
55;"We are very stressful about this.";"We are very stressed about this.";"Word Confusion";"2024-08-07 09:08:26.969035"
56;"You have to hear more than speak.";"You have to listen more than speak.";"Word Confusion";"2024-08-07 09:08:26.969035"
57;"I passed the whole morning looking for accommodation.";"I spent the whole morning looking for accommodation.";"Word Confusion";"2024-08-07 09:08:26.969035"
58;"You don't respect another people's lives.";"You don't respect other people's lives.";"Word Confusion";"2024-08-07 09:08:26.969035"
59;"My last travel was to visit my family.";"My last trip was to visit my family.";"Word Confusion";"2024-08-07 09:08:26.969035"
60;"They had a mistake.";"They made a mistake.";"Word Confusion";"2024-08-07 09:08:26.969035"
61;"Is this exercise true?";"Is this exercise correct?";"Word Confusion";"2024-08-07 09:08:26.969035"
62;"It was the mistake destination.";"It was the wrong destination.";"Word Confusion";"2024-08-07 09:08:26.969035"
63;"They went to the false location.";"They went to the wrong location.";"Word Confusion";"2024-08-07 09:08:26.969035"
64;"When I was in Ireland, I always used black clothes.";"When I was in Ireland, I always wore black clothes.";"Word Confusion";"2024-08-07 09:08:26.969035"
65;"I always use black clothes.";"I always wear black clothes.";"Word Confusion";"2024-08-07 09:08:26.969035"
66;"On my last birthday, I broke up my relationship.";"On my last birthday, I broke up with my boyfriend.
On my last birthday, I ended my relationship.";"Word Confusion";"2024-08-07 09:08:26.969035"
67;"I want to make my master's degree.";"I want to do my master's degree.
I want to get my master's degree.";"Word Confusion";"2024-08-07 09:08:26.969035"
68;"If I were you, I wouldn't stay afraid.";"If I were you, I wouldn't be afraid.";"Word Confusion";"2024-08-07 09:08:26.969035"
69;"When I see a snake, I stay frightened.";"When I see a snake, I get frightened.";"Word Confusion";"2024-08-07 09:08:26.969035"
70;"I can't talk now because I stay concentrated on my work.";"I can't talk now because I am concentrated on my work.";"Word Confusion";"2024-08-07 09:08:26.969035"
71;"She stayed surprised when I told her.";"She was surprised when I told her.";"Word Confusion";"2024-08-07 09:08:26.969035"
72;"The movie was played by Tom Holland.";"Spiderman was played by Tom Holland.
The movie has Tom Holland.
The movie stars Tom Holland.";"Word Confusion";"2024-08-07 09:08:26.969035"
73;"I need to know Amsterdam.";"I need to go to Amsterdam.
I need to see/visit Amsterdam.";"Word Confusion";"2024-08-07 09:08:26.969035"
74;"I didn't know anything about the history before I read the book.";"I didn't know anything about the story before I read the book.";"Word Confusion";"2024-08-07 09:08:26.969035"
75;"In the final, they get together.";"In the end, they get together.";"Word Confusion";"2024-08-07 09:08:26.969035"
76;"I passed my childhood there.";"I spent my childhood there.";"Word Confusion";"2024-08-07 09:08:26.969035"
77;"Did you know any other places on your holiday?";"Did you see/visit any other places on your holiday?";"Word Confusion";"2024-08-07 09:08:26.969035"
78;"A person who has 18 years old doesn't have enough experience.";"A person who is 18 years old doesn't have enough experience.";"Word Confusion";"2024-08-07 09:08:26.969035"
79;"We pass our lives looking at screens.";"We spend our lives looking at screens.";"Word Confusion";"2024-08-07 09:08:26.969035"
80;"She was grown up by her grandmother.";"She was brought up by her grandmother.
She was raised by her grandmother.";"Word Confusion";"2024-08-07 09:08:26.969035"
81;"In the final, she explained about solar energy.";"In the end, she explained about solar energy.";"Word Confusion";"2024-08-07 09:08:26.969035"
82;"I make my part to help.";"I do my part to help.";"Word Confusion";"2024-08-07 09:08:26.969035"
83;"The rock has a form like a cup.";"The rock has a shape like a cup.
The rock is shaped like a cup.";"Word Confusion";"2024-08-07 09:08:26.969035"
84;"I'd like to go there when I come back to Brazil.";"I'd like to go there when I go back to Brazil.";"Word Confusion";"2024-08-07 09:08:26.969035"
85;"I've decided not to visit zoos more.";"I've decided not to visit zoos anymore.";"Word Confusion";"2024-08-07 09:08:26.969035"
86;"I didn't see the final of the film.";"I didn't see the ending of the film.";"Word Confusion";"2024-08-07 09:08:26.969035"
87;"It's something that remembers me of my childhood.";"It's something that reminds me of my childhood.";"Word Confusion";"2024-08-07 09:08:26.969035"
88;"I don't wish to go back to Brazil.";"I don't want to go back to Brazil.";"Word Confusion";"2024-08-07 09:08:26.969035"
89;"I wish I can swim when I go to the beach.";"I hope I can swim when I go to the beach.";"Word Confusion";"2024-08-07 09:08:26.969035"
90;"All people were scary.";"All the people were scared.
Everybody was scared.
Everyone was scared.";"Word Confusion";"2024-08-07 09:08:26.969035"
91;"I usually don't read blogs too.";"I usually don't read blogs either.";"Word Confusion";"2024-08-07 09:08:26.969035"
92;"It was a big history.";"It was a big story.";"Word Confusion";"2024-08-07 09:08:26.969035"
93;"I want to know other towns.";"I want to explore other towns.
I want to see other towns.
I want to visit other towns.";"Word Confusion";"2024-08-07 09:08:26.969035"
94;"We lost connection when she moved to another city.";"We lost touch when she moved to another city.";"Word Confusion";"2024-08-07 09:08:26.969035"
95;"I don't think so they produce tomatoes.";"I don't think they produce tomatoes.";"Word Confusion";"2024-08-07 09:08:26.969035"
96;"My friend said he had been engaged.";"My friend said he had got engaged.";"Word Confusion";"2024-08-07 09:08:26.969035"
97;"I promised my friend we would make a BBQ when I went to Brazil.";"I promised my friend we would have a BBQ when I went to Brazil.";"Word Confusion";"2024-08-07 09:08:26.969035"
98;"He makes illegal things with his computer.";"He does illegal things with his computer.";"Word Confusion";"2024-08-07 09:08:26.969035"
99;"You pass all your time on social media.";"You spend all your time on social media.";"Word Confusion";"2024-08-07 09:08:26.969035"
100;"She had only twenty years when she died.";"She was only twenty when she died.
She was only twenty years old when she died.";"Word Confusion";"2024-08-07 09:08:26.969035"
101;"When you come back to France, you have to visit Versailles.";"When you go back to France, you have to visit Versailles.";"Word Confusion";"2024-08-07 09:08:26.969035"
102;"That has never happened to me too.";"That has never happened to me either.";"Word Confusion";"2024-08-07 09:08:26.969035"
103;"They like to do all things together.";"They like to do everything together.";"Word Confusion";"2024-08-07 09:08:26.969035"
104;"It's a magic place.";"It's a magical place.";"Word Confusion";"2024-08-07 09:08:26.969035"
105;"At the first time, we didn't like each other.";"At first, we didn't like each other.";"Word Confusion";"2024-08-07 09:08:26.969035"
106;"I'd rather go on holiday with friends because it's funnier.";"I'd rather go on holiday with friends because it's more fun.";"Word Confusion";"2024-08-07 09:08:26.969035"
107;"I'm planning to make some work on my house.";"I'm planning to do some work on my house.";"Word Confusion";"2024-08-07 09:08:26.969035"
108;"It was my last day there before coming back to Brazil.";"It was my last day there before going back to Brazil.";"Word Confusion";"2024-08-07 09:08:26.969035"
109;"I haven't done that as well.";"I haven't done that either.";"Word Confusion";"2024-08-07 09:08:26.969035"
110;"My state is different from another states.";"My state is different from other states.";"Word Confusion";"2024-08-07 09:08:26.969035"
