"incorrect sentence";"correct sentence";"topic"
"It’s really better.";"It’s much better.";"Comparatives and Superlatives"
"I’d like to visit more countries as possible.";"I’d like to visit as many countries as possible.";"Comparatives and Superlatives"
"You need to do your better.";"You need to do your best.";"Comparatives and Superlatives"
"If you’re more close to the person, you have to give a bigger gift.";"If you’re closer to the person, you have to give a bigger gift.";"Comparatives and Superlatives"
"It’s more easy to dance in high heels than to walk.";"It’s easier to dance in high heels than to walk.";"Comparatives and Superlatives"
"It’s really easier for us.";"It’s much / a lot easier for us.";"Comparatives and Superlatives"
"It’s more easy to buy euros now.";"It’s easier to buy euros now.";"Comparatives and Superlatives"
"Here it’s more safe than in Brazil.";"Here it’s safer than in Brazil. / It’s safer here than in Brazil.";"Comparatives and Superlatives"
"He didn’t spend a lot of money like her.";"He didn’t spend as much money as her.";"Comparatives and Superlatives"
"Testing on animals is more better than testing on humans.";"Testing on animals is better than testing on humans.";"Comparatives and Superlatives"
"If you’re the first-born child, you’re the older.";"If you’re the first-born child, you’re the oldest.";"Comparatives and Superlatives"
"It’s so cheaper.";"It’s (so) much cheaper.";"Comparatives and Superlatives"
"Back then it wasn’t too expensive like now.";"Back then it wasn’t as expensive as (it is) now.";"Comparatives and Superlatives"
"It’s not that much dangerous as Brazil.";"It’s not as dangerous as Brazil.";"Comparatives and Superlatives"
"It’s more expensive, but it’s more easy.";"It’s more expensive, but it’s easier.";"Comparatives and Superlatives"
"Is it more cold than Ireland?";"Is it colder than Ireland?";"Comparatives and Superlatives"
"In Brazil they’re not so conscious of the environment like here.";"In Brazil they’re not as conscious of the environment as here.";"Comparatives and Superlatives"
"It’s more healthier than meat.";"It’s healthier than meat.";"Comparatives and Superlatives"
"Most of people didn’t pay.";"Most people didn’t pay. / Most of the people didn’t pay.";"Comparatives and Superlatives"
"Blockbuster used to be the bigger company.";"Blockbuster used to be the biggest company.";"Comparatives and Superlatives"
"To learn a language, you have to start very younger.";"To learn a language, you have to start much younger.
To learn a language, you have to start very young.";"Comparatives and Superlatives"
"You’ll get there more fast with help.";"You’ll get there faster with help.";"Comparatives and Superlatives"
"I’d like to be more close to my father.";"I’d like to be closer to my father.";"Comparatives and Superlatives"
"I lived in a neighbourhood more safe.";"I lived in a safer neighbourhood.";"Comparatives and Superlatives"
"It’s so faster.";"It’s (so) much faster.";"Comparatives and Superlatives"
"Sometimes I’m more slowly.";"Sometimes I’m slower. / Sometimes I go more slowly.";"Comparatives and Superlatives"
"It’s more deeper.";"It’s deeper.";"Comparatives and Superlatives"
"It’s more practical and more safe.";"It’s more practical and safer.
It’s safer and more practical.";"Comparatives and Superlatives"
"The more important is understanding people.";"The most important thing is understanding people.";"Comparatives and Superlatives"
"It’s very more expensive.";"It’s much/a lot more expensive.";"Comparatives and Superlatives"
"When I was a child, I was more good at sports.";"When I was a child, I was better at sports.";"Comparatives and Superlatives"
"The taste is more strong.";"The taste is stronger.";"Comparatives and Superlatives"
"River fish are the best than fish from the ocean.";"River fish are better than fish from the ocean.";"Comparatives and Superlatives"
"When I’m more happy, I listen to Brazilian funk.";"When I’m happier, I listen to Brazilian funk.";"Comparatives and Superlatives"
"It’s more hard.";"It’s harder.";"Comparatives and Superlatives"
"Ireland is more safe than Brazil.";"Ireland is safer than Brazil.";"Comparatives and Superlatives"
"It’s so safe than Ireland.";"It’s (so) much safer than Ireland.";"Comparatives and Superlatives"
"If I moved to another country, I would be more healthy.";"If I moved to another country, I would be healthier.";"Comparatives and Superlatives"
"It will get more easier.";"It will get easier.";"Comparatives and Superlatives"
"She’s the person in my family that I’m more close to.";"She’s the person in my family that I’m closest to.";"Comparatives and Superlatives"
"Sao Paulo has the most big exhibitions.";"Sao Paulo has the biggest exhibitions.";"Comparatives and Superlatives"
"It’s the most fast means of transport.";"It’s the fastest means of transport.";"Comparatives and Superlatives"
