"incorrect sentence";"correct sentence";"topic"
"The stone was really heavy, so anyone could have carried it.";"The stone was really heavy, so no one could have carried it.";"Some Any No"
"People don’t have where to live.";"People don’t have anywhere to live.";"Some Any No"
"He started over in another city where anyone knew him.";"He started over in another city where no one knew him.";"Some Any No"
"I don’t know nothing about that.";"I don’t know anything about that.";"Some Any No"
"I don’t have patience for nothing.";"I don’t have patience for anything.";"Some Any No"
"In the background of the picture, there are any trees.";"In the background of the picture, there are some trees.";"Some Any No"
"When I first arrived, I almost couldn’t say nothing.";"When I first arrived, I almost couldn’t say anything.";"Some Any No"
"Usually when I go anywhere, I ask my brother to look after my dog.";"Usually when I go somewhere, I ask my brother to look after my dog.";"Some Any No"
"I lock my phone so anyone can use it.";"I lock my phone so no one can use it.";"Some Any No"
"I haven’t been thinking about nothing.";"I haven’t been thinking about anything.";"Some Any No"
"What did you do? Anything.";"What did you do? Nothing.";"Some Any No"
"I don’t know nothing.";"I don’t know anything.";"Some Any No"
"Normally, you don’t use your brain for almost nothing.";"Normally, you don’t use your brain for almost anything.";"Some Any No"
"She started with anything and became a billionaire.";"She started with nothing and became a billionaire.";"Some Any No"
"After that I don’t remember nothing.";"After that I don’t remember anything.";"Some Any No"
"You can’t do nothing physical after eating it.";"You can’t do anything physical after eating it.";"Some Any No"
"Anybody suspected her because she was elderly.";"Nobody suspected her because she was elderly.";"Some Any No"
"If anybody worked, we wouldn’t have food.";"If nobody worked, we wouldn’t have food.";"Some Any No"
"Anybody asked me nothing.";"Nobody asked me anything.";"Some Any No"
"Anybody had told me, so it wasn’t my fault.";"Nobody / No one had told me, so it wasn’t my fault.";"Some Any No"
"Anybody in my family wants to have children.";"Nobody / No one in my family wants to have children.";"Some Any No"
"Anyone went there because it was too far.";"No one / Nobody went there because it was too far.";"Some Any No"
"The company doesn’t pay nothing.";"The company doesn’t pay anything.";"Some Any No"
"I didn’t know nothing about the story.";"I didn’t know anything about the story.";"Some Any No"
"I wouldn’t do nothing.";"I wouldn’t do anything.";"Some Any No"
"I don’t remember nothing.";"I don’t remember anything.";"Some Any No"
"I don’t understand nothing you say.";"I don’t understand anything you say.";"Some Any No"
"He helped them without saying nothing.";"He helped them without saying anything.";"Some Any No"
"We didn’t understand nothing.";"We didn’t understand anything.";"Some Any No"
