"incorrect sentence";"correct sentence";"topic"
"I didn’t see it yet.";"I haven't seen it yet.";"Tenses"
"I’ve never went to this airport.";"I’ve never been to this airport.";"Tenses"
"He always singing and telling jokes.";"He’s always singing and telling jokes.";"Tenses"
"Before I came to Ireland, I don’t know how to cook.";"Before I came to Ireland, I didn't know how to cook.";"Tenses"
"I didn’t find a suitable job yet.";"I haven’t found a suitable job yet.";"Tenses"
"She realised that she broke her shoulder.";"She realised that she had broken her shoulder.";"Tenses"
"I don’t have the opportunity to meet Irish people yet.";"I haven’t had the opportunity to meet Irish people yet.";"Tenses"
"I don’t choose yet.";"I haven't chosen yet.";"Tenses"
"I didn’t won anything.";"I didn’t win anything.";"Tenses"
"At the time, I have never done that before.";"At the time, I had never done that before.";"Tenses"
"Before that, the only person I take care of was my grandmother.";"Before that, the only person I had taken care of was my grandmother.";"Tenses"
"I didn’t do anything with my degree yet.";"I haven’t done anything with my degree yet.";"Tenses"
"It’s normal when we’re children.";"It was normal when we were children.";"Tenses"
"In the end, I had given the pie away to my coworkers.";"In the end, I gave the pie away to my coworkers.";"Tenses"
"It’s rude if it’s happen all the time.";"It’s rude if it happens all the time.";"Tenses"
"I’m not get used to it.";"I’m not used to it. / I haven’t got used to it.";"Tenses"
"My aunt is married since she was 18.";"My aunt has been married since she was 18.";"Tenses"
"He supposed to be there at midday, but he didn’t.";"He was supposed to be there at midday, but he wasn’t.";"Tenses"
"I didn’t saw a lot of gas stations here in Ireland.";"I haven’t seen a lot of gas stations here in Ireland.";"Tenses"
"I never been really good in school.";"I was never really good in school.";"Tenses"
"It’s not change.";"It doesn’t change.";"Tenses"
"In the beginning, no one would like to buy his drawings.";"In the beginning, no one wanted to buy his drawings.";"Tenses"
"The most beautiful city I’ve ever been visited is London.";"The most beautiful city I’ve ever visited is London.";"Tenses"
"A lot of tourists visiting this cathedral.";"A lot of tourists visit this cathedral.";"Tenses"
"She doesn’t work for two years.";"She hasn’t worked for two years.";"Tenses"
"Sometimes Irish people using slang.";"Sometimes Irish people use slang.";"Tenses"
