"incorrect sentence";"correct sentence";"topic"
"Do you like cook?";"Do you like to cook?
Do you like cooking?";"To + Infinitive"
"I don’t know how react to that.";"I don’t know how to react to that.";"To + Infinitive"
"I need make a decision.";"I need to make a decision.";"To + Infinitive"
"You need speak Italian.";"You need to speak Italian.";"To + Infinitive"
"It’s easier for Brazilian people learn about that.";"It’s easier for Brazilian people to learn about that.";"To + Infinitive"
"Even for you won the lottery, you have to play.";"Even to win / if you want to win the lottery, you have to play.";"To + Infinitive"
"She started to invented some rules for us.";"She started to invent some rules for us.";"To + Infinitive"
"You need try.";"You need to try.";"To + Infinitive"
"She started to swimming. ";"She started swimming / to swim. ";"To + Infinitive"
"I’m afraid of forget my wallet.";"I’m afraid of forgetting / to forget my wallet.";"To + Infinitive"
"It’s hard to forgot.";"It’s hard to forget.";"To + Infinitive"
"I used to don’t study art in school.";"I didn’t use to study art in school.
I never studied art in school.";"To + Infinitive"
"It’s not easy to don’t consume sugar.";"It’s not easy to stop / avoid consuming sugar.";"To + Infinitive"
"It’s difficult to found people who speak English in Brazil.";"It’s difficult to find people who speak English in Brazil.";"To + Infinitive"
"I prefer to don’t break anything.";"I prefer not to break anything.";"To + Infinitive"
"Today it’s more common use your cell phone.";"Today it’s more common to use your cell phone.";"To + Infinitive"
"My dream was visit Rome.";"My dream was to visit Rome.";"To + Infinitive"
"You don’t have to go to the library for renew.";"You don’t have to go to the library to renew.";"To + Infinitive"
"She was the first woman to won the Nobel Prize.";"She was the first woman to win the Nobel Prize.";"To + Infinitive"
"I prefer play team sports.";"I prefer playing / to play team sports.";"To + Infinitive"
"The intention of the director was make the judge the main character.";"The intention of the director was to make the judge the main character.";"To + Infinitive"
"A lot of people want seeing the coronation.";"A lot of people want to see the coronation.";"To + Infinitive"
"We need to time.";"We need time.";"To + Infinitive"
"I always push myself doing things that challenge me.";"I always push myself to do things that challenge me.";"To + Infinitive"
"You need speak more fluently for get a better job.";"You need to speak more fluently to get a better job.";"To + Infinitive"
