"incorrect sentence";"correct sentence";"topic"
"The history of the movie is good.";"The story of the movie is good.";"Word Confusion"
"Usually I don’t see movies or series.";"I don’t usually watch movies or series.";"Word Confusion"
"I said her that.";"I said that to her. / I told her that.";"Word Confusion"
"She tripped and felt on the road.";"She tripped and fell on the road.";"Word Confusion"
"I had a picture to remember me of her.";"I had a picture to remind me of her.";"Word Confusion"
"The biggest guilty about this are the big corporations.";"The ones who are most to blame for this are the big corporations.";"Word Confusion"
"It could be a problem in the close future.";"It could be a problem in the near future.";"Word Confusion"
"People don’t have where to live.";"People don’t have anywhere to live.";"Word Confusion"
"When you talk to another people, you have to be able to understand different accents.";"When you talk to other people, you have to be able to understand different accents.";"Word Confusion"
"I lost the bus.";"I missed the bus.";"Word Confusion"
"I’m not get used to it.";"I’m not used to it. / I haven’t got used to it.";"Word Confusion"
"Her parents went to Peru to know what happened to her.";"Her parents went to Peru to find out what happened to her.";"Word Confusion"
"She told the history of what happened.";"She told the story of what happened.";"Word Confusion"
"The roommate has to leave because he makes something bad.";"The roommate has to leave because he does something bad.";"Word Confusion"
"The final of the movie is really surprising.";"The ending of the movie is really surprising.";"Word Confusion"
"They have the fault to do this.";"They are to blame for doing this.
They’re responsible for doing this.";"Word Confusion"
"Many waterfalls are starting to dry.";"Many waterfalls are starting to dry up.";"Word Confusion"
"You can be on the day about what’s happening in the world.";"You can be up to date about what’s happening in the world.";"Word Confusion"
"Step by step we started to know each other.";"Step by step we got to know each other.";"Word Confusion"
"Do you consider that mobile phones are cheaper here than in Brazil?";"Do you think that mobile phones are cheaper here than in Brazil?";"Word Confusion"
"He wins a lot of money on TikTok.";"He makes/earns a lot of money on TikTok.";"Word Confusion"
"It’s not change.";"It doesn’t change.";"Word Confusion"
"He makes anything he can to keep the family together.";"He does anything he can to keep the family together.";"Word Confusion"
"I love care the people.";"I love taking care of people.";"Word Confusion"
"You have to be courage to try it.";"You have to be brave / have courage to try it.";"Word Confusion"
"It’s a good way to know new people.";"It’s a good way to meet new people.";"Word Confusion"
"You need to go to a specific local to connect to the internet.";"You need to go to a specific place / location to connect to the internet.";"Word Confusion"
"The people were just taking photos and not watching the painting.";"The people were just taking photos and not looking at the painting.";"Word Confusion"
"We can stay more time in our currently flat.";"We can stay more time in our current flat.";"Word Confusion"
"He has more red blood cells than another people.";"He has more red blood cells than other people.";"Word Confusion"
"In the end, I could graduate.";"In the end, I managed to / was able to graduate.";"Word Confusion"
"When I was looking at this sentence, I reminded her.";"When I was looking at this sentence, I remembered her.
When I was looking at this sentence, it reminded me of her.";"Word Confusion"
"I don’t agree as well.";"I don’t agree either.";"Word Confusion"
